word,lambda_TL_expression
always;$X.H X
go to;$X.at(X)
the;$X.X
a;$X.X
you;$X.X
are;$X.X
in front of;$X.at(X)
breakroom;breakroom
and;$X$Y.F(X&FY)
report;$X$Y.report(X,Y)
location;location
of;$X.X
an;$X.X
is;$X.X
see;$X.see(X)
if;$X.X
there;$X.X
open;$X.open(X)
reach;$X.at(X)
object;object
when;$X$Y.G(X->Y)
immediately;$X.NX
detect;$X.detect(X)
do not;$X.!X
position;position
of;$X.X
recharge station;recharge_station
then;$X.FX
eventually;$X.FX
until;$X$Y.XUY
or;$X$Y.FX|FY
maintain;$X.GX
pick up;$X.pick(X)
keep;$X.GX
blue ball;blue_ball
red ball;red_ball
yellow ball;yellow_ball
purple ball;purple_ball
green ball;green_ball
grey ball;grey_ball
blue key;blue_key
red key;red_key
yellow key;yellow_key
green key;green_key
grey key;grey_key
purple key;purple_key
blue box;blue_box
red box;red_box
yellow box;yellow_box
green box;green_box
grey box;grey_box
purple box;purple_box
blue door;blue_door
red door;red_door
yellow door;yellow_door
green door;green_door
grey door;grey_door
purple door;purple_door
box;box
key;key
ball;ball
door;door
room 1;room_1
room 2;room_2
room 3;room_3
room 4;room_4
room 5;room_5
room 6;room_6
room 7;room_7
room 8;room_8
room 9;room_9
room;room